dmr_make,dmr_model,age_band,our_estimate_dkk,real_asking_price_dkk,real_mileage_km,source_note
DACIA,SANDERO,4,43907,,,
DACIA,SANDERO,2,104892,,,
TOYOTA,AYGO,3,64301,,,
CITROËN,C1,2,131527,,,
VOLKSWAGEN,UP!,2,81367,,,
FORD,FIESTA,2,95413,,,
FORD,FIESTA,4,50560,,,
PEUGEOT,208,2,88608,,,
OPEL,CORSA,3,75219,,,
VOLKSWAGEN,GOLF,1,254440,,,
VOLKSWAGEN,GOLF,2,171500,,,
VOLKSWAGEN,GOLF,4,74601,,,
SKODA,OCTAVIA,2,204937,,,
FORD,FOCUS,2,130959,,,
TOYOTA,RAV4,2,347684,,,
NISSAN,QASHQAI,2,227521,,,
AUDI,A4 AVANT,2,303820,,,
BMW,3-Serie,1,732060,,,
BMW,3-Serie,3,273018,,,
VOLVO,XC60,1,586128,,,
AUDI,Q5,2,577490,,,
BMW,X5,1,1314765,,,
BMW,X5,4,178754,,,
