dmr_make,dmr_model,age_band,estimated_value_dkk,n_listings,pooled_at_brand,calibrated,calibration_factor_applied,mileage_adjustment_pct_per_10k_km,price_own_cell_anchor_count,price_own_cell_anchor_spread,price_anchor_source
HYUNDAI,I10,1,47464,107,False,True,0.4502,0.0286,0,,global
HYUNDAI,I10,2,35148,107,False,True,0.4502,0.0286,0,,global
HYUNDAI,I10,3,29527,107,False,True,0.4502,0.0286,0,,global
HYUNDAI,I10,4,20211,107,False,True,0.4502,0.0286,0,,global
HYUNDAI,I20,1,88566,387,False,True,0.5042,0.0286,0,,global
HYUNDAI,I20,2,54311,387,False,True,0.4502,0.0286,0,,global
HYUNDAI,I20,3,35494,387,False,True,0.4502,0.0286,0,,global
HYUNDAI,I20,4,23822,387,False,True,0.4502,0.0286,0,,global
SKODA,OCTAVIA,1,169353,478,False,True,0.5042,0.0286,0,,global
SKODA,OCTAVIA,2,103516,478,False,True,0.5042,0.0286,0,,global
SKODA,OCTAVIA,3,58456,478,False,True,0.4502,0.0286,0,,global
SKODA,OCTAVIA,4,37868,478,False,True,0.4502,0.0286,0,,global
PEUGEOT,2008,1,107620,458,False,True,0.5042,0.0286,0,,global
PEUGEOT,2008,2,56749,458,False,True,0.4502,0.0286,0,,global
PEUGEOT,2008,3,44581,458,False,True,0.4502,0.0286,0,,global
PEUGEOT,2008,4,38197,458,False,True,0.4502,0.0286,0,,global
TOYOTA,Toyota C-HR,1,148424,5761,True,True,0.5042,0.0286,0,,brand_pooled
TOYOTA,Toyota C-HR,2,101181,5761,True,True,0.5042,0.0286,0,,brand_pooled
TOYOTA,Toyota C-HR,3,54029,5761,True,True,0.4502,0.0286,0,,brand_pooled
TOYOTA,Toyota C-HR,4,34236,5761,True,True,0.4502,0.0286,0,,brand_pooled
FIAT,500C,1,112792,575,True,True,0.5042,0.0286,0,,brand_pooled
FIAT,500C,2,67527,575,True,True,0.4502,0.0286,0,,brand_pooled
FIAT,500C,3,50860,575,True,True,0.4502,0.0286,0,,brand_pooled
FIAT,500C,4,35173,575,True,True,0.4502,0.0286,0,,brand_pooled
MAZDA,MAZDA3,1,167784,559,True,True,0.5042,0.0286,0,,brand_pooled
MAZDA,MAZDA3,2,131062,559,True,True,0.5042,0.0286,0,,brand_pooled
MAZDA,MAZDA3,3,95745,559,True,True,0.5042,0.0286,0,,brand_pooled
MAZDA,MAZDA3,4,52133,559,True,True,0.4502,0.0286,0,,brand_pooled
VOLVO,XC40,1,208169,226,False,True,0.5042,0.0286,0,,global
VOLVO,XC40,2,188776,226,False,True,0.5042,0.0286,0,,global
VOLVO,XC40,3,183437,226,False,True,0.5042,0.0286,0,,global
VOLVO,XC40,4,183437,226,False,True,0.5042,0.0286,0,,global
MERCEDES-BENZ,B-Klasse,1,184035,186,False,True,0.5042,0.0286,0,,global
MERCEDES-BENZ,B-Klasse,2,107225,186,False,True,0.5042,0.0286,0,,global
MERCEDES-BENZ,B-Klasse,3,80719,186,False,True,0.5042,0.0286,0,,global
MERCEDES-BENZ,B-Klasse,4,42433,186,False,True,0.4502,0.0286,0,,global
CITROËN,C3 Aircross,1,105682,160,False,True,0.5042,0.0286,0,,global
CITROËN,C3 Aircross,2,60416,160,False,True,0.4502,0.0286,0,,global
CITROËN,C3 Aircross,3,38699,160,False,True,0.4502,0.0286,0,,global
CITROËN,C3 Aircross,4,27611,160,False,True,0.4502,0.0286,0,,global
OPEL,MERIVA,1,47315,624,False,True,0.4502,0.0286,0,,global
